Sr No,date,startup,vertical,city,investors,round,amount
901,2017-04-18,Absentia VR,Technology,Bangalore,Exfinity Venture Partners,Private Equity,1250000
902,2017-04-19,IOTrek,Technology,New Delhi,Undisclosed Investor,Seed Funding,155000
903,2017-04-20,HolaChef,Consumer Internet,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,3000000
904,2017-04-20,Wooplr,eCommerce,Bangalore,Ankit Nagori,Private Equity,0
905,2017-04-21,Video Ken,Consumer Internet,Bangalore,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,1000000
906,2017-04-24,Faasos,Food & Beverage,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,6300000
907,2017-04-24,Oyo Rooms,Consumer Internet,Gurgaon,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,250000000
908,2017-04-24,Toppr,Consumer Internet,Mumbai,WGG International,Private Equity,3200000
909,2017-04-24,Niramai,Healthcare,Bangalore,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,0
910,2017-04-25,The Office Pass,Consumer Internet,Gurgaon,"Arun Tadanki, Aditya Verma",Seed Funding,245000
911,2017-04-25,UrbanClap,Consumer Internet,Gurgaon,Trifecta Capital,Private Equity,3100000
912,2017-04-26,Awfis,Consumer Internet,Mumbai,Sequoia India,Private Equity,20000000
913,2017-04-26,Myra,Consumer Internet,Bangalore,"Times Internet,Matrix Partners",Private Equity,0
914,2017-04-26,Flytxt,Technology,Mumbai,DAH Beteiligungs GmbH,Private Equity,11000000
915,2017-04-26,Howdy Ventures,Consumer Internet,Chennai,S. Xavier Britto,Seed Funding,1500000
916,2017-04-26,StalkBuyLove,eCommerce,New Delhi,Trifecta Capital,Private Equity,1000000
917,2017-04-26,ZipGo,Consumer Internet,Bangalore,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Private Equity,0
918,2017-04-27,Scootsy,Consumer Internet,Mumbai,"Agnus Capital, Khattar Holdings",Private Equity,3600000
919,2017-04-27,Autobix,Technology,Pune,GardX International,Seed Funding,0
920,2017-04-27,eShiksha,Technology,Jaipur,Cross Border Angels & Experts,Seed Funding,0
921,2017-04-27,iNurture,Consumer Internet,Bangalore,BlackSoil Capital Pvt. Ltd,Private Equity,1500000
922,2017-04-28,Sepalika,Consumer Internet,New Delhi,Accel Partners,Seed Funding,750000
923,2017-04-28,Mintwalk,Consumer Internet,Mumbai,Poshika Financial Ecosystem,Seed Funding,0
924,2017-04-29,Qriyo,Consumer Internet,Jaipur,NB Ventures,Private Equity,0
925,2017-01-03,Ola,Consumer Internet,Bangalore,SoftBank Group Corp,Private Equity,330000000
926,2017-01-03,Belong,Consumer Internet,Bangalore,Sequoia Capital India,Private Equity,10000000
927,2017-01-03,Seenit,Consumer Internet,Kolkata,"Calcutta Angels Network (CAN), Augment Ventures",Seed Funding,0
928,2017-01-03,Paalak,ECommerce,New Delhi,"Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi",Seed Funding,0
929,2017-02-03,Celes Care,Consumer Internet,Hyderabad,"Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners",Private Equity,1500000
930,2017-02-03,Karomi,Technology,Chennai,Ideaspring Capital,Seed Funding,500000
931,2017-02-03,Red Carpet,Consumer Internet,Gurgaon,Lightspeed Venture Partners,Private Equity,2500000
932,2017-02-03,Kreate Konnect,Technology,Vadodara,Langoor,Seed Funding,0
933,2017-02-03,CreditMantri,Consumer Internet,Chennai,Quona Capital,Private Equity,7600000
934,2017-03-03,Lets Endorse,Consumer Internet,Bangalore,"Chandigarh Angels Network, Social Alpha and other unnamed angel investors",Seed Funding,0
935,2017-03-03,Tydy,Technology,Bangalore,"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",Seed Funding,275000
936,2017-03-03,Nactus,Consumer Internet,Jaipur,"Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar",Seed Funding,0
937,2017-03-03,Oho Shop,Technology,Ahmedabad,"Bennett, Coleman and Company Ltd",Private Equity,6700000
938,2017-03-03,Emojifi,Consumer Internet,Hyderabad,Undisclosed angel investors,Seed Funding,0
939,2017-03-03,Paytm Marketplace,ECommerce,Bangalore,Alibaba,Private Equity,200000000
940,2017-04-03,iGenetics,Healthcare,Mumbai,CDC Group Plc,Private Equity,19500000
941,2017-06-03,Juno Clinic,Consumer Internet,Mumbai,Atul Nishar,Seed Funding,1200000
942,2017-06-03,Summerlabel,Consumer Internet,Gurgaon,"Aneesh Seth, Tushar Mittal",Seed Funding,150000
943,2017-06-03,PickMe,Consumer Internet,Mumbai,SIDBI Venture Capital Fund,Private Equity,1790000
944,2017-07-03,Agrostar,Technology,Pune,Accel Partners,Private Equity,10000000
945,2017-07-03,Zapr,Technology,Bangalore,Star India Pvt Ltd,Private Equity,10000000
946,2017-07-03,Data Resolve,Technology,Noida,IDFC Parampara Early Stage Opportunities Fund,Private Equity,1000000
947,2017-07-03,Book Servicing,Consumer Internet,New Delhi,National Science and Technology Entrepreneurship Development Board,Seed Funding,30000
